ENTIDAD_RES,2020-01-13,2020-01-29,2020-02-06,2020-02-19,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29
Guanajuato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,6,9,19,23,25,26,33,37,42,44,47,50,55,60,62,62,63,64,72,79,85,88,93,96,97,102,107,112,117,124,135,155,171,186,192,207,220,235,248,261,271,291,305,326,343,353,361,382,415,452,479,508,541,569,611,649,689,719,770,818,846,880,946,998,1057,1128,1179,1242,1270,1357,1457,1568,1725,1834,1963,2086,2257,2421,2579,2779,2937,3095,3251,3435,3639,3782,3996,4190,4421,4594,4861,5116,5463,5828,6104,6328,6583,6934,7387,7676,7997,8298,8620,8929,9208,9519,9905,10313,10689,11192,11501,11936,12327,12752,13276,13642,13983,14332,14912,15316,15812,16353,16680,17103,17459,17856,18357,18877,19481,19840,20221,20581,20983,21654,22038,22430,22811,23155,23447,23826,24337,24634,25000,25300,25595,25839,26145,26518,26861,27333,27585,27829,28105,28430,28791,29092,29430,29813,30114,30461,30755,31039,31255,31477,31598,31644,31660,31662,31662
Guerrero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,4,5,5,8,9,12,14,16,19,22,23,26,27,28,31,31,32,34,38,43,47,52,60,70,76,84,89,102,108,120,129,137,152,155,169,176,185,198,215,240,257,276,301,338,373,394,417,446,482,520,578,613,658,706,743,779,819,872,931,997,1063,1134,1208,1299,1444,1558,1659,1815,1926,2046,2144,2241,2362,2458,2565,2692,2803,2916,3031,3141,3238,3393,3509,3621,3710,3824,3954,4060,4193,4330,4498,4607,4736,4848,4941,5079,5179,5284,5419,5558,5716,5818,5968,6091,6233,6472,6716,6957,7222,7440,7610,7860,7996,8160,8317,8432,8536,8622,8737,8887,9077,9207,9340,9465,9566,9740,9907,10052,10220,10399,10658,10795,10921,11049,11192,11377,11513,11705,11861,11994,12094,12223,12449,12630,12784,12891,13027,13127,13240,13402,13485,13602,13690,13780,13879,13963,14102,14172,14254,14365,14449,14570,14655,14699,14729,14761,14784,14791,14792,14793,14793
Hidalgo,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,4,7,8,8,9,9,11,13,16,17,17,23,26,28,31,35,37,42,49,54,54,55,59,60,65,73,75,80,85,92,101,108,119,125,133,148,158,178,196,231,256,275,298,325,346,377,410,439,465,495,532,560,594,639,672,708,740,794,843,906,970,1018,1085,1154,1227,1271,1324,1418,1499,1577,1630,1715,1799,1849,1959,2022,2080,2137,2199,2265,2330,2410,2478,2544,2606,2692,2768,2836,2914,2989,3084,3149,3203,3268,3315,3417,3475,3547,3632,3693,3791,3851,3921,4000,4067,4154,4228,4295,4360,4423,4500,4597,4667,4750,4807,4873,4970,5052,5127,5218,5318,5411,5497,5611,5705,5829,5946,6085,6191,6309,6480,6578,6680,6787,6901,7021,7113,7242,7359,7475,7571,7690,7842,7956,8099,8177,8306,8422,8525,8660,8772,8926,9010,9093,9188,9306,9432,9524,9651,9768,9862,9985,10073,10135,10181,10222,10246,10266,10273,10275,10275
Jalisco,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,5,6,9,12,16,22,30,39,47,49,55,67,75,75,83,93,99,105,109,113,115,123,125,129,137,142,145,154,162,166,169,175,185,193,199,205,209,216,228,241,248,263,276,284,295,315,335,352,375,396,414,433,453,472,491,523,547,582,609,656,690,715,746,767,805,848,896,933,982,1032,1081,1115,1182,1252,1332,1403,1480,1564,1653,1784,1954,2084,2221,2377,2550,2711,2857,3152,3347,3508,3677,3873,4053,4275,4515,4720,4930,5127,5297,5458,5637,5866,6056,6248,6426,6596,6837,7002,7189,7342,7517,7688,7903,8056,8243,8456,8677,8929,9116,9323,9532,9743,9996,10191,10368,10572,10835,11056,11274,11556,11794,12046,12276,12514,12770,12976,13287,13464,13646,13832,14054,14237,14465,14710,14886,15049,15217,15411,15657,15841,16083,16270,16498,16674,16873,17067,17250,17522,17724,17915,18070,18256,18435,18626,18864,19030,19194,19381,19567,19723,19853,20047,20164,20241,20301,20318,20324
Edo.Mex,0,0,0,1,2,2,2,2,2,3,3,3,4,4,6,9,10,11,11,16,19,30,32,37,45,56,66,79,97,110,122,133,154,175,197,226,255,291,334,388,422,460,522,572,655,716,783,855,916,1028,1107,1220,1328,1499,1628,1779,1972,2146,2367,2574,2829,3087,3330,3680,3951,4199,4454,4747,5059,5355,5676,6009,6287,6674,7188,7507,7829,8209,8634,9038,9495,9990,10444,11056,11602,12055,12537,12975,13713,14235,14738,15464,16045,16821,17311,18007,18583,19117,19951,20625,21232,21919,22628,23304,23920,25012,25702,26327,27026,27861,28657,29307,30058,30692,31555,32120,32719,33273,33802,34663,35331,35802,36441,37008,37786,38223,38777,39290,39790,40343,41023,41447,42070,42694,43299,44133,44670,45236,45687,46191,46745,47241,47694,48144,48863,49266,49705,50266,50797,51444,52004,52560,53130,53576,54310,54765,55260,55662,56118,56655,57078,57668,58111,58473,58876,59317,59951,60323,60792,61192,61611,61936,62317,62754,63060,63646,64042,64345,64657,65036,65399,65787,66140,66497,66740,67064,67278,67417,67530,67663,67739,67796,67818,67828,67828
Michoacan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,9,10,12,16,16,17,17,21,25,27,31,33,36,37,38,41,42,52,55,58,61,67,72,87,95,102,116,123,134,153,162,176,193,214,230,243,281,297,319,343,370,393,427,451,471,490,519,565,594,650,697,753,792,839,903,946,1024,1090,1153,1216,1297,1401,1469,1520,1603,1667,1770,1844,1939,2002,2100,2247,2351,2456,2593,2703,2802,2909,3089,3224,3377,3518,3653,3821,3956,4111,4261,4436,4564,4753,4881,5040,5246,5390,5526,5659,5816,5992,6088,6212,6329,6422,6548,6665,6745,6850,6959,7061,7225,7342,7452,7546,7652,7759,7863,7936,8014,8188,8296,8428,8544,8650,8783,8903,9055,9220,9379,9602,9738,9872,9999,10151,10341,10497,10726,10889,11014,11158,11312,11574,11745,11934,12066,12225,12370,12544,12713,12865,13127,13269,13417,13570,13769,13983,14146,14324,14476,14606,14782,14859,14961,15047,15085,15105,15115,15116,15116,15116
Morelos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,3,3,3,4,4,5,6,7,8,9,11,13,16,17,18,20,22,25,26,30,33,42,46,51,57,64,66,69,76,78,94,100,109,128,136,153,167,188,225,249,288,309,346,375,431,473,507,548,591,643,686,738,773,813,859,904,945,986,1059,1105,1156,1204,1240,1276,1300,1343,1401,1450,1501,1549,1604,1645,1700,1753,1806,1865,1900,1936,1976,2039,2091,2157,2225,2252,2280,2326,2399,2448,2509,2572,2608,2652,2697,2750,2804,2843,2895,2930,2963,2994,3038,3085,3108,3143,3166,3183,3218,3254,3291,3322,3355,3371,3399,3431,3456,3475,3501,3542,3587,3613,3655,3692,3723,3761,3795,3820,3854,3884,3925,3953,3986,4027,4054,4077,4112,4143,4192,4230,4279,4312,4344,4372,4410,4453,4494,4530,4563,4600,4639,4670,4698,4748,4784,4814,4843,4870,4902,4928,4972,4997,5016,5044,5079,5107,5133,5152,5177,5200,5207,5211,5211,5211
Nayarit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,4,4,5,5,5,7,7,7,9,10,10,10,13,15,18,20,23,27,28,29,32,34,38,39,40,43,47,49,51,59,63,65,69,71,76,83,95,103,113,121,129,144,162,183,202,214,233,238,252,260,273,290,310,325,341,350,364,384,406,425,446,468,484,499,517,541,571,610,638,658,688,713,739,780,817,845,872,903,934,971,998,1040,1079,1119,1155,1192,1225,1264,1322,1369,1406,1444,1498,1542,1590,1643,1699,1741,1775,1821,1876,1929,1982,2042,2088,2130,2186,2244,2310,2368,2415,2489,2534,2591,2650,2708,2753,2805,2888,2931,2987,3054,3143,3227,3274,3323,3370,3427,3482,3538,3592,3649,3695,3744,3790,3851,3905,3964,4028,4063,4116,4167,4239,4299,4356,4403,4449,4495,4556,4594,4626,4665,4708,4747,4802,4844,4903,4948,4974,4993,4999,5003,5003,5003
Nuevo Leon,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,4,5,7,7,16,18,23,25,31,39,46,49,57,63,68,73,76,80,82,83,85,88,90,91,93,97,103,108,118,126,128,135,145,158,169,183,207,220,229,240,249,255,263,270,278,287,299,307,323,335,348,370,393,426,440,455,478,516,534,551,582,659,682,710,755,787,827,875,922,982,1017,1071,1101,1134,1187,1246,1291,1328,1382,1450,1501,1592,1669,1732,1781,1842,1901,1964,2095,2182,2293,2428,2605,2745,2866,3138,3321,3570,3779,4029,4245,4409,4685,4910,5121,5371,5580,5883,6143,6455,6731,6987,7292,7626,7929,8279,8686,9045,9536,9918,10373,10768,11203,11724,12184,12593,12988,13574,14013,14462,15036,15469,15976,16404,16833,17206,17657,18285,18662,19015,19290,19557,19846,20110,20429,20693,20917,21160,21445,21833,22093,22523,22820,23106,23392,23700,24029,24272,24672,24939,25221,25484,25773,26106,26401,26721,27043,27306,27677,27957,28210,28469,28701,28895,29002,29058,29079,29083
Oaxaca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,4,4,4,5,5,5,7,10,11,12,16,17,18,21,24,28,30,34,35,36,37,42,44,48,53,53,55,61,68,70,74,76,88,98,102,109,115,123,133,142,151,165,177,185,200,215,231,246,278,299,324,344,370,413,436,474,521,561,637,713,797,860,921,1009,1087,1139,1277,1355,1467,1538,1635,1726,1817,1973,2076,2150,2270,2397,2515,2606,2816,2959,3130,3317,3508,3646,3797,4005,4126,4290,4436,4594,4756,4897,5061,5199,5342,5502,5635,5828,5980,6172,6310,6452,6607,6719,6862,7066,7280,7469,7678,7844,8001,8205,8364,8540,8680,8799,8892,9083,9211,9319,9472,9600,9734,9871,10005,10187,10289,10461,10604,10696,10813,10943,11096,11208,11327,11418,11523,11595,11677,11844,11939,12027,12095,12170,12231,12303,12429,12538,12679,12736,12811,12891,12983,13065,13138,13233,13303,13385,13473,13526,13583,13637,13669,13681,13692,13698,13699,13699
Puebla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,9,12,14,17,22,26,30,42,48,54,57,67,78,88,104,111,115,122,138,163,190,209,218,235,259,279,293,306,326,333,345,360,381,404,424,459,477,501,524,559,599,629,673,713,739,773,825,868,907,959,991,1029,1066,1126,1165,1204,1275,1336,1406,1479,1568,1652,1743,1863,1989,2101,2213,2344,2434,2551,2712,2832,3009,3129,3290,3436,3552,3736,3876,4014,4202,4355,4516,4658,5004,5180,5360,5559,5804,6030,6227,6523,6760,7200,7479,7820,8089,8350,8861,9221,9493,9883,10293,10733,10972,11327,11606,11849,12196,12504,12753,13011,13308,13599,14013,14295,14530,14787,15110,15399,15680,15916,16175,16629,16911,17182,17525,17788,18170,18462,18817,19146,19401,19818,20077,20327,20631,20894,21216,21435,21732,21976,22162,22376,22581,22915,23102,23351,23555,23766,23950,24160,24359,24503,24790,24964,25146,25301,25465,25650,25765,25980,26160,26299,26510,26598,26679,26736,26799,26835,26876,26890,26899,26899
Queretaro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,7,8,8,9,10,11,14,17,19,19,22,24,26,30,30,34,37,40,41,42,42,44,48,50,54,57,59,62,65,67,71,76,83,89,91,95,101,104,109,116,120,126,129,139,143,144,152,162,169,174,180,188,202,211,224,237,264,283,321,355,380,422,466,510,531,559,605,653,679,713,752,795,832,868,899,934,990,1028,1049,1081,1119,1161,1190,1259,1308,1343,1356,1396,1434,1469,1512,1551,1590,1641,1678,1723,1762,1806,1835,1862,1897,1945,1994,2031,2059,2094,2129,2181,2220,2266,2311,2348,2397,2461,2505,2560,2606,2680,2725,2798,2835,2902,3004,3067,3113,3178,3236,3319,3385,3433,3502,3557,3644,3698,3750,3803,3867,3939,4013,4081,4169,4239,4306,4381,4479,4547,4658,4705,4774,4839,4927,5020,5112,5244,5293,5353,5418,5508,5604,5680,5756,5827,5886,5987,6035,6114,6150,6216,6258,6285,6315,6319,6320
Quintana Roo,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,5,8,9,12,16,22,24,27,34,39,47,56,62,72,78,91,97,118,134,152,169,182,201,217,236,250,278,307,323,343,369,401,432,461,490,520,549,590,624,670,694,748,780,807,833,855,899,935,968,1000,1029,1052,1085,1164,1191,1224,1244,1275,1297,1335,1375,1411,1428,1456,1493,1519,1552,1583,1609,1659,1706,1748,1776,1809,1843,1883,1935,1957,2006,2047,2088,2126,2166,2220,2255,2286,2314,2357,2406,2462,2525,2571,2630,2697,2753,2811,2864,2943,3006,3066,3145,3236,3368,3447,3536,3638,3721,3828,3973,4092,4261,4386,4485,4611,4722,4865,5014,5147,5310,5448,5581,5746,5905,6033,6161,6295,6416,6543,6659,6769,6912,7074,7233,7330,7458,7572,7677,7804,7929,8041,8182,8273,8347,8442,8565,8660,8770,8848,8930,9018,9092,9173,9256,9329,9389,9455,9504,9574,9649,9706,9767,9838,9900,9989,10034,10096,10180,10232,10278,10304,10313,10313,10313
San Luis Potosi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,4,4,5,9,11,12,16,18,19,21,24,24,30,33,34,37,39,41,42,46,50,53,57,60,60,61,61,63,65,67,68,69,73,80,81,83,85,87,89,99,107,109,112,118,134,145,165,183,191,208,229,245,266,295,325,344,371,400,425,456,478,495,519,554,588,608,637,671,708,756,788,833,888,936,975,1005,1046,1088,1147,1192,1240,1320,1380,1464,1526,1608,1686,1760,1850,1948,2014,2081,2143,2227,2308,2429,2514,2584,2670,2780,2891,3004,3148,3254,3358,3462,3603,3725,3861,3977,4121,4306,4485,4705,4872,5082,5321,5555,5807,6081,6448,6731,7037,7469,7820,8208,8550,8916,9288,9586,10042,10352,10677,10966,11318,11607,11887,12244,12592,12846,13084,13325,13678,13935,14234,14431,14645,14859,15095,15325,15491,15811,16010,16218,16409,16616,16797,16946,17154,17350,17513,17698,17811,17927,18000,18059,18098,18105,18109,18112,18113
Sinaloa,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,4,4,6,8,11,13,14,18,24,30,37,53,66,75,86,99,109,124,140,164,182,202,229,254,276,304,334,372,410,456,496,539,584,619,655,698,748,795,851,935,975,1017,1070,1131,1196,1236,1290,1329,1375,1442,1547,1591,1663,1726,1793,1848,1926,1992,2062,2185,2277,2372,2444,2544,2725,2843,2942,3070,3194,3361,3494,3654,3807,3957,4147,4289,4427,4578,4738,4894,5053,5329,5490,5656,5835,6079,6298,6438,6658,6835,7063,7214,7396,7522,7653,7901,8048,8183,8361,8507,8749,8869,8997,9098,9226,9384,9534,9664,9832,9970,10116,10318,10489,10651,10795,10952,11095,11223,11370,11485,11654,11763,11862,11991,12101,12226,12315,12417,12541,12659,12845,12926,13012,13115,13238,13399,13506,13629,13728,13820,13902,14018,14175,14259,14377,14446,14548,14634,14708,14808,14889,15008,15086,15168,15265,15357,15481,15561,15651,15730,15778,15872,15932,15988,16028,16059,16081,16094,16100,16104,16104
Sonora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,5,5,7,12,13,15,17,17,19,21,25,27,31,36,41,41,42,46,58,60,65,76,87,111,124,137,151,167,176,183,191,206,211,227,244,263,276,300,313,333,356,382,411,433,460,486,516,562,618,675,724,793,848,914,998,1076,1157,1264,1370,1463,1563,1668,1859,2042,2201,2406,2562,2748,2924,3157,3369,3543,3842,4055,4265,4474,4684,4941,5126,5482,5697,5896,6100,6355,6610,6848,7147,7366,7639,7857,8122,8369,8644,8987,9249,9495,9780,10076,10446,10720,11084,11374,11665,12057,12467,12773,13131,13481,13913,14407,14742,15090,15350,15639,15887,16088,16259,16431,16681,16837,16955,17092,17203,17364,17501,17620,17762,17886,18058,18177,18293,18392,18511,18629,18783,18914,19003,19090,19195,19304,19441,19553,19681,19755,19846,19945,20040,20132,20255,20388,20456,20519,20605,20725,20841,20935,21010,21098,21158,21231,21314,21363,21412,21430,21433,21433,21433,21433,21433
Tabasco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,5,7,9,10,13,15,21,29,34,39,43,50,57,68,74,81,97,110,122,132,144,162,175,198,216,247,279,310,350,399,425,467,514,580,628,682,737,799,875,950,1010,1063,1118,1189,1246,1288,1342,1401,1454,1538,1626,1709,1788,1903,2008,2092,2204,2331,2434,2571,2706,2800,2898,3024,3189,3299,3404,3538,3675,3907,4044,4199,4343,4479,4721,4856,4980,5140,5338,5505,5627,5999,6149,6320,6500,6822,7079,7273,7565,7757,8091,8328,8620,8843,9022,9397,9699,9899,10203,10495,10890,11128,11434,11681,11924,12329,12681,12929,13248,13598,13951,14405,14748,15091,15338,15665,16020,16346,16711,17037,17573,17875,18230,18615,19013,19431,19739,20111,20455,20744,21324,21571,21875,22162,22424,22810,23036,23351,23631,23821,24047,24275,24655,24889,25091,25261,25488,25623,25796,25948,26066,26332,26466,26653,26778,26914,27125,27225,27363,27474,27597,27789,27914,28003,28089,28176,28261,28311,28342,28352,28354
