Fecha,AGUASCALIENTES,BAJA CALIFORNIA,BAJA CALIFORNIA SUR,CAMPECHE,CHIAPAS,CHIHUAHUA,CIUDAD DE MEXICO,COAHUILA DE ZARAGOZA,COLIMA,DURANGO,GUANAJUATO,GUERRERO,HIDALGO,JALISCO,MEXICO,MICHOACAN DE OCAMPO,MORELOS,NAYARIT,NUEVO LEON,OAXACA,PUEBLA,QUERETARO,QUINTANA ROO,SAN LUIS POTOSI,SINALOA,SONORA,TABASCO,TAMAULIPAS,TLAXCALA,VERACRUZ DE IGNACIO DE LA LLAVE,YUCATAN,ZACATECAS
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.009747497452749943,0.0,0.0,0.0,0.0,0.0,0.0,0.010578954354841881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025335394021974253,0.0,0.014079114498303858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.019281011709108214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049738258546651055,0.0,0.02155229022610125,0.0,0.00822631167751708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.009747497452749943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007439539283299657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005287336284949699,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.01454041369445993,0.014102899757884946,0.0,0.0,0.0,0.0,0.0,0.005321687898812103,0.0024940333287717773,0.0,0.0,0.0,0.00822631167751708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.009747497452749943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024940333287717773,0.0,0.0,0.0,0.00822631167751708,0.0,0.013543622286547301,0.020555851143111165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.02860973629572121,0.0,0.0,0.023489734121954754,0.0,0.0,0.0,0.010578954354841881,0.0,0.0,0.0,0.0,0.00822631167751708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,0.03168078319210872,0.0,0.0,0.0,0.0,0.0,0.042237537794383974,0.0,0.0,0.0,0.0,0.0,0.014491322121031429,0.005321687898812103,0.012329362039114083,0.0,0.0,0.0,0.01629969460312141,0.0,0.0,0.0,0.0,0.01523013709398606,0.0,0.0,0.0,0.0,0.0,0.0,0.019541125141164524,0.0
2020-03-08,0.0,0.0,0.0,0.04412662976087302,0.0,0.0,0.023970421358828212,0.0,0.0,0.0,0.0,0.011875761671060765,0.014491322121031429,0.01577334043289199,0.007439539283299657,0.0,0.0,0.0,0.0,0.0,0.013543622286547301,0.020555851143111165,0.025335394021974253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05616829375327949,0.0
2020-03-09,0.0,0.011949630870673687,0.050566214890384195,0.04412662976087302,0.0,0.0,0.08480249237522527,0.0,0.0,0.023489734121954754,0.0,0.011875761671060765,0.0,0.01577334043289199,0.026676927742143853,0.00922464194176054,0.02155229022610125,0.0,0.06896497959776546,0.01056344910709759,0.03309861666201898,0.020555851143111165,0.025335394021974253,0.01523013709398606,0.014079114498303858,0.0,0.050530089462843264,0.0,0.0,0.0,0.019541125141164524,0.02632236208196146
2020-03-10,0.03168078319210872,0.0,0.0,0.0,0.0,0.0,0.09679894185611095,0.014102899757884946,0.0,0.0,0.007288403621689059,0.0,0.0,0.020906332553576684,0.0049738258546651055,0.0,0.02155229022610125,0.03295533093061617,0.01629969460312141,0.01056344910709759,0.020160271336010446,0.0769601242942749,0.04927391469269615,0.0,0.0,0.0,0.03433128614732395,0.0,0.0,0.0,0.05616829375327949,0.0
2020-03-11,0.0,0.023579252565109687,0.0,0.0,0.0,0.0,0.08480249237522527,0.0,0.0,0.023489734121954754,0.0,0.011875761671060765,0.0,0.03099382255695609,0.012329362039114083,0.0,0.0,0.0,0.03965661440733362,0.0,0.013543622286547301,0.020555851143111165,0.07196158021949484,0.01523013709398606,0.0,0.02792227501874629,0.0,0.0,0.0,0.0,0.05616829375327949,0.0
2020-03-12,0.03168078319210872,0.023579252565109687,0.0,0.04412662976087302,0.0,0.022379627366913655,0.0682736783141931,0.0,0.05450788291174273,0.0,0.014456508121651853,0.011875761671060765,0.014491322121031429,0.04085231626742502,0.019562391349434282,0.0,0.0,0.0,0.01629969460312141,0.0208760502634674,0.020160271336010446,0.0,0.025335394021974253,0.01523013709398606,0.014079114498303858,0.02792227501874629,0.0,0.0,0.0,0.0207737545107035,0.019541125141164524,0.02632236208196146
2020-03-13,0.0,0.04594396935627732,0.050566214890384195,0.0,0.007995215603361534,0.01133395329845932,0.1345504727147355,0.014102899757884946,0.0,0.0,0.0,0.011875761671060765,0.04209934810841211,0.045698893118446944,0.026676927742143853,0.0,0.0,0.0,0.04717120768405239,0.0,0.03309861666201898,0.020555851143111165,0.07196158021949484,0.0,0.0,0.014185501169282086,0.03433128614732395,0.011825974124228256,0.0,0.0,0.0899452518009677,0.0
